,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
GHA,,0,0,11,40,1,,0,0,1,0,,,0,,9,0,10,,13,0,,0,-2,0,105,0,0,14,13,124,,,2,,0,,0,,165,0,,28,49,15,0,1,,0,4,,0,"1,742",,C,104,,,169,,30,,,,0,,0,0,,0,45,C,0,0,111,C,3,23,,0,,471,"1,230",0,,
GIB,,0,0,C,151,0,,16,0,1,109,,,0,,,0,0,,0,0,,0,0,0,1,0,0,C,46,23,,,88,,0,,0,,29,6,,67,0,,0,0,,,0,,0,143,,0,0,,,3,,69,,,,0,,C,0,C,0,,C,0,0,,C,6,62,,0,,403,245,,,
GRC,9,0,0,145,744,11,,0,0,971,51,,0,3,478,"1,846",1,5,,27,0,0,0,955,4,125,0,5,82,"4,835","3,864",0,,17,,5,0,0,,"1,574",0,10,"2,954",218,259,0,16,,1,4,,3,"3,571",1,C,0,,0,"1,233",,619,,,0,0,0,15,"1,192",1,7,3,C,1,81,1,C,184,258,3,15,,"14,123","7,975",3,,
GRL,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,47,0,0,C,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,1,,C,0,,,0,,2,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,50,,,
GRD,,0,0,0,0,0,,4,0,,0,,,0,,,0,0,,0,0,,0,0,0,7,0,0,,0,2,,,0,,0,,0,,20,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,28,,,
GLP,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,0,,,,,0,,,,0,,0,0,,0,,,0,0,,C,0,,0,0,,11,0,,,
GUM,,0,0,0,0,3,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,256,,0,0,,,0,,0,,,,0,,0,0,,0,12,,0,0,,C,3,,,0,,0,,,,
GTM,,0,0,0,12,0,,26,0,,0,,1,0,22,1,41,0,,2,10,,45,0,0,22,0,0,C,1,126,,,30,1,0,,0,,86,0,,32,4,87,0,0,,,0,,0,182,0,0,0,,,52,,3,,,139,0,,0,0,,0,22,,0,0,,C,2,30,0,0,,42,248,,,
GGY,,0,0,C,447,5,,43,0,413,908,,28,0,"1,439","1,047",29,777,9,0,0,,13,13,14,"2,008",0,1,"2,338","3,165","5,703",7,32,,,2,61,0,,"3,708",72,5,817,"2,440",403,0,283,12,34,50,,0,"8,968",22,17,37,,,"4,593",,"2,090",,,1,5,,2,64,27,C,,C,152,0,"3,056",266,584,"12,233",10,1,,"14,527","37,557",0,,
GUF,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,0,,,
GIN,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
GNB,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,0,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
GUY,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,11,0,,0,0,,0,0,,,0,,0,8,,0,0,,,1,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,0,0,,0,0,,,
HTI,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,1,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,0,0,,0,0,,,
HND,,0,0,C,3,0,,0,0,,4,0,0,0,17,2,7,7,,6,0,1,52,0,0,46,0,0,C,5,83,,,0,,0,,0,,57,0,,6,7,105,0,0,,,0,,0,270,0,0,0,8,,70,,8,,,28,29,,0,0,,0,,C,0,0,,C,1,231,,0,,11,422,0,,
HUN,0,0,0,314,"1,133",16,,0,0,181,60,,0,398,"1,012","1,489",4,84,,140,0,0,0,1,590,877,0,22,105,"1,756","5,236",,2,49,,,0,0,0,"2,018",0,1,617,873,393,0,75,,39,0,,56,"8,304",12,4,0,,0,"2,283",,496,,,0,0,,952,13,130,C,435,C,142,60,36,C,95,462,,1,,"6,279","12,347",0,,
ISL,,0,0,C,81,0,,0,0,82,0,,0,8,71,8,7,8,2,1,0,,0,0,7,360,0,1,232,395,"1,054",,1,0,,7,,0,,197,0,,228,89,425,0,19,,1,0,,1,"2,273",,C,0,,,57,,424,,,0,0,,16,11,5,0,,C,9,8,,C,287,101,1,0,,365,"2,138",0,,
IND,,0,2,"5,182",290,"1,155",48,3,0,283,"2,442",,7,0,"9,827","7,712",86,"8,986",18,763,0,0,13,46,8,"2,144",1,0,484,"4,200","2,861",,0,896,,0,1,,32,"10,509",14,5,402,"9,755",627,0,"2,213",153,14,2,,2,"35,711",163,C,"84,797",1,0,"7,782",C,"10,082",1,,2,0,265,C,10,C,C,"1,190","50,630",4,45,543,C,"1,647","2,545",211,0,,"27,707","130,033",1,,6
IDN,,0,0,975,278,250,3,0,0,94,486,,0,29,"2,348","1,686",47,"1,381",3,"1,729",0,,4,1,1,"1,609",14,0,316,489,"3,839",9,,59,,0,0,46,,"6,263",3,1,805,"7,453",110,0,494,179,4,0,,0,"19,441","2,648",C,531,,,"5,162",,"3,044",14,,0,2,"2,173",C,136,,C,"1,816","15,137",5,8,22,C,499,"1,677",138,0,,"10,221","47,129",,,
IRN,,0,0,0,0,0,4,0,0,,0,,,0,,,0,0,2,0,0,,0,0,0,0,0,0,,35,0,,0,0,,0,,0,,0,0,,0,0,,0,94,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,C,0,6,,C,2,0,9,0,,2,0,,,
IRQ,,0,0,0,3,13,,0,0,,2,,,0,35,146,0,0,,3,0,,0,0,1,75,0,0,19,28,33,,,4,,0,,0,,74,0,,20,6,,0,347,15,0,0,,0,285,,0,5,,,35,,0,,,,0,,0,0,,0,,C,0,0,,C,5,14,,0,,83,507,,,
IRL,C,0,13,"5,604","13,121",114,15,412,0,"37,434","9,149",,332,299,"14,130","15,182","4,727","9,689",637,"2,248",70,,"4,453","1,346","1,068","18,239",6,765,"36,403","114,467","132,895",105,"1,605","6,845",,390,"1,845",4,22,,"1,017","1,776","93,036","51,118","4,016","1,374","3,594",11,732,59,,"1,091","146,575",207,"1,278",117,153,0,"74,487","1,718","15,161",,,102,802,36,353,"9,660",110,"19,379",764,"7,216",775,568,"15,923","33,558","18,550","54,686",726,7,,"222,822","498,270",13,,1
IMN,,0,0,C,5,0,,1,0,73,31,,26,1,8,49,4,4,0,10,0,,0,12,0,28,0,1,19,193,209,,3,312,,1,2,0,,"1,378",,,112,111,19,0,8,,2,1,,0,873,419,C,50,,,81,,219,,,0,0,,C,0,2,C,0,64,0,0,"1,136",C,41,107,,0,,"1,978","3,768",2,,
ISR,,0,1,579,247,0,,7,0,215,313,,50,0,"2,400","2,571",19,14,19,316,0,0,19,8,3,475,0,2,63,985,"2,427",,2,794,,1,2,0,0,"1,881",1,,259,"1,974",181,15,336,,0,0,,0,"4,515",1,4,3,5,,"1,610",,"3,112",,,5,2,,14,10,C,1,,C,27,12,8,149,414,"2,234",81,2,,"5,809","79,785",2,,
ITA,36,0,3,"3,217","19,590",187,90,4,0,"30,426","1,039",,78,136,"6,963","7,543",520,C,108,"1,164",0,0,7,413,167,"6,618",36,151,"6,735","263,595","183,564",15,"11,565","2,076",,34,15,0,15,"124,014",6,247,,"53,713",760,96,"1,161",,130,26,,47,"193,858",1,561,2,54,0,"45,317",584,"14,457",,,26,11,1,494,"16,660",32,C,"2,582",C,"1,954","1,379",49,"97,738","5,003","9,924",34,0,,"131,576","106,546",26,,2
JAM,,0,15,C,10,0,,0,0,,3,,0,0,59,79,1,0,,2,0,0,56,0,0,102,0,0,C,4,106,,0,21,,0,,0,,159,0,,21,24,4,0,0,,,0,,0,385,,C,0,,,123,,0,,,0,0,,0,0,,0,37,C,0,0,,C,4,21,,0,,168,858,,,
JPN,,12,20,"30,605","1,622",157,50,40,0,"2,208","9,219",50,22,28,"56,569","58,554","4,136","45,886",567,"10,691",0,0,167,10,30,"9,475",12,3,"3,408","109,160","27,305",3,8,"1,576",,7,67,5,28,"96,841",18,609,"5,147",,"7,075","4,375","11,804",,25,5,,9,"111,496",491,143,40,13,0,"39,924",C,"78,343",15,,37,18,55,C,513,0,C,"13,087",C,89,57,749,"2,722","15,599","25,951","1,977",0,,"213,004","811,160",148,,3
JEY,,0,2,686,"1,441",2,,12,0,"1,266",579,,26,10,"2,178","2,591",59,"2,062",34,0,0,0,28,13,61,"2,377",0,2,"1,610","11,131","9,572",7,30,"1,242",,428,8,0,,"8,091",142,3,"3,323","17,273",,112,924,7,15,60,,3,"28,315",24,78,"2,278",,,"8,121",,"4,411",,,,1,C,80,254,7,878,,C,1,7,561,"1,902","1,321","13,161",0,0,,"46,870","92,365",22,,
JOR,,0,0,C,0,714,,0,0,,16,,,0,11,,0,7,,1,0,,0,99,0,13,5,0,C,1,28,,,43,,0,,0,0,44,266,,1,1,3,0,3,94,,145,,0,118,0,0,0,,0,17,,794,,,,0,,0,0,,0,5,,0,0,,C,4,6,,0,,149,"3,196",,,851
KAZ,2,0,0,C,130,11,,0,0,33,103,,1,0,148,705,18,0,,4,0,0,0,6,67,528,0,2,16,104,"1,690",9,4,73,,34,0,0,,873,0,2,280,66,12,,47,,39,4,,4,"2,547",14,C,0,,,648,,12,,,2,0,C,C,34,,C,235,26,3,0,,C,29,271,0,2,,854,"4,043",,,
KEN,,0,0,C,11,0,,0,0,1,12,,,0,17,70,0,59,,5,0,,0,0,0,132,0,0,60,16,236,,,59,,0,,0,,369,0,,26,53,123,0,2,,0,0,,0,"1,312",0,C,181,,,156,,350,,,,0,,0,0,,0,,C,0,0,219,C,24,35,0,0,,436,"1,707",,,
KIR,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
PRK,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
KOR,,0,4,"8,289",502,417,14,3,0,720,"4,903",101,214,2,"13,988","6,031",185,"16,943",450,"3,251",144,2,3,28,28,"1,799",0,1,600,"7,350","8,296",18,4,469,,10,1,8,5,"16,137",5,80,776,"25,196","1,005","2,297",,0,2,3,,8,"30,492",888,34,72,35,3,"10,465",C,"17,229",5,,21,49,201,5,44,0,2,"3,436","35,730",36,59,112,539,"3,041","10,794","1,472",0,,"37,311","171,088",2,,3
KWT,,0,0,0,0,288,2,0,0,,13,,,0,9,408,0,14,,3,0,,0,3,0,16,50,0,9,6,0,,,91,,0,,0,12,49,7,,0,3,,0,9,,,15,,0,631,346,0,63,,0,1,C,96,,,0,0,C,0,0,,0,109,C,0,0,0,C,0,0,20,19,,301,701,,,9
KGZ,,0,0,0,0,0,,0,0,,4,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,1,0,25,,0,36,,,0,,0,120,,0,0,,,2,,0,0,,,0,,0,0,,1,,,0,0,,C,0,1,,0,,0,0,,,
LAO,,0,0,0,0,0,,0,0,0,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,1,,9,,0,,0,,0,0,,0,0,,0,8,,,0,,0,9,,0,0,,,0,,0,,,,0,,0,0,,0,,C,0,0,,C,0,0,999,0,,2,0,,,
LVA,C,0,0,0,439,0,,0,0,236,2,,,16,4,92,0,0,4,0,0,,0,0,16,35,0,188,38,130,"1,445",,11,0,,2,,0,,29,0,1,81,19,25,0,7,,,0,,234,401,,C,0,,0,232,,172,,,0,0,,C,0,,3,,C,86,54,,C,183,266,0,0,0,369,470,,,
LBN,,0,0,0,7,0,,0,0,10,0,,1,0,15,389,0,21,,4,0,,1,57,0,94,17,0,C,19,154,,,29,,0,,0,0,183,0,,178,16,,0,0,46,,,,0,983,,0,0,,0,204,,0,,,,0,,0,0,,0,125,,0,0,,C,25,130,,163,,112,"1,260",,,
LSO,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
LBR,,0,0,C,0,0,,0,0,36,2,,,0,206,,1,5,2,63,0,,0,0,0,89,0,0,11,30,102,,1,0,,0,,0,,247,0,,28,539,1,41,33,,0,0,,0,714,0,C,0,,,152,,974,,,1,0,,0,0,,0,,C,0,0,4,C,13,144,,0,,114,"12,983",0,,
LBY,,0,0,0,0,21,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,2,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,45,,0,,,0,0,,C,0,0,,0,,0,0,,,
LIE,,0,0,C,"1,824",0,,0,0,27,0,,34,1,1,643,323,22,,0,0,,0,0,4,0,0,1,,27,"1,401",,,10,,7,,0,,4,0,,21,0,,0,6,,,0,,0,"1,775",0,C,0,,,0,,12,,,6,0,C,C,0,,0,,C,0,4,,C,38,,0,0,,29,58,0,,
LTU,C,0,0,C,516,0,,0,0,307,48,,,41,53,32,0,0,8,0,0,,0,0,7,120,0,249,33,311,"2,818",,7,18,,4,0,0,,212,0,,179,267,13,0,24,,505,7,,,"1,189",,C,0,,,455,,200,,,0,0,,27,0,,4,34,C,183,52,,C,794,453,3,0,,362,"1,586",,,
LUX,19,330,1,"10,332","39,110",282,,19,0,"188,653","14,862",6,"1,707",547,"10,501","9,482","36,898","50,669","1,416","3,700","3,146",6,"2,527","1,751","4,446","28,514",9,"2,245","34,386","314,328","525,756",138,"63,199","19,904",,"3,633","1,954",283,87,"94,310",534,"8,325","474,274","100,081","17,633",270,"11,980",78,"2,641",213,,"1,213",,734,"1,322",588,958,5,"95,733",C,"18,852",1,,173,"3,124",168,"11,539","17,327",641,"24,612","2,715","20,568",672,"1,016","19,173","125,149","77,421","198,270","4,325",152,,"110,424","127,586",452,,
MKD,5,0,0,0,37,0,,0,0,7,0,,,0,,2,0,0,,0,0,,0,0,0,66,0,0,10,1,42,,0,0,,0,,0,,14,0,,23,0,,0,0,,8,0,,1,194,,C,0,,,0,,0,,,,0,,C,0,,0,,,5,27,,C,1,5,1,0,,109,295,,,
MDG,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,34,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,18,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
MWI,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,C,,0,0,,0,,0,,0,,0,0,,0,0,4,0,0,,,0,,0,7,,0,5,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,1,,,
MYS,,0,2,"1,157",224,396,9,0,0,139,"3,177",,0,0,"1,984","1,985",40,"3,363",301,270,0,,1,0,0,868,45,0,99,"1,118","2,416",4,,54,,0,0,0,17,"4,700",11,,153,"8,020",99,4,812,574,5,26,,1,"10,450",,0,31,,0,"4,150",,"2,865",10,,1,1,157,C,0,,C,"2,141","17,658",0,3,34,C,752,"1,731",633,36,,"11,019","32,761",1,,1
MDV,,0,0,0,0,0,,0,0,,126,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,C,0,0,2,C,0,0,,0,,0,0,,,
MLI,,0,0,0,0,0,,0,0,,13,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,0,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,0,0,,19,0,,,
MLT,C,0,0,7,173,0,,2,0,129,269,,7,0,33,60,1,C,,7,89,,0,0,125,16,10,0,36,293,193,,0,263,,17,,0,0,238,1,,181,40,7,0,6,0,10,39,,0,"1,015",,,17,,,105,,190,,,,0,,46,0,C,0,0,C,9,3,"2,215",C,"1,755",451,89,0,,123,995,,,
MHL,,0,0,2,2,0,,0,0,17,40,,1,0,73,203,3,0,,0,0,,0,0,0,80,0,1,69,51,72,1,,15,,0,0,0,,245,1,,9,99,4,0,69,,0,0,,0,603,0,C,0,,,59,,282,,,1,0,,1,54,C,0,,C,0,0,,C,125,29,0,0,,542,"14,091",,,
MTQ,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,0,,,,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,0,,,
MRT,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,C,,0,,,0,,0,,0,,0,0,,0,0,15,0,0,,,0,,0,15,0,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,6,,0,,31,170,,,
MUS,,0,0,C,1,3,,5,0,9,"2,628",,1,0,63,"1,033",0,18,16,13,0,,1,13,79,123,9,0,26,33,49,4,,377,,0,,60,0,"1,526",139,,10,"2,156",585,0,1,0,,0,,0,"8,943",66,0,,,,177,,100,0,,0,0,,0,0,,0,,C,0,0,817,C,209,207,0,0,,"5,880","10,233",,,
MYT,,0,0,0,0,0,,1,0,,0,,,0,,,0,0,,0,0,,0,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,0,,,,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,0,,,
MEX,,13,4,"2,689",979,82,11,3,0,"1,087","1,631",4,34,21,"6,372","7,975","2,992",257,102,987,315,19,100,3,12,"2,621",0,15,418,"6,892","15,261",3,11,150,,5,0,0,0,"12,419",7,228,"2,564","18,181",338,0,"1,052",,20,6,,10,"38,832",1,25,0,,,"9,357",C,"9,573",3,,272,366,C,30,166,C,0,"2,970",C,49,46,,"4,786","1,037","5,876",313,2,,"23,990","147,611",80,1,4
FSM,,0,0,0,0,0,,13,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
MDA,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,20,,0,0,,,0,,0,,,,0,,0,0,C,C,,,0,0,,C,0,0,,0,,1,0,,,
MCO,,0,0,0,0,0,,1,0,16,3,,13,0,,1,1,0,,15,0,,0,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,13,0,1,0,0,,,0,,0,0,,0,0,,,,,0,,,,0,,0,0,,0,,,0,0,,C,6,,,0,,1,11,,,
MNG,,0,0,0,20,0,,0,0,1,0,,,0,,3,0,41,,790,0,,0,0,0,117,0,0,6,23,159,,,9,,1,,0,,88,0,,44,226,,0,20,,2,3,,0,706,0,0,0,,,114,,0,,,,0,C,0,0,,C,36,C,1,0,,C,4,28,,1,,194,473,,,
MNE,6,0,0,0,30,0,,0,0,1,0,,,20,,7,0,0,,0,0,,0,0,0,2,0,0,C,11,98,,,1,,1,,0,,2,0,,46,9,,0,0,,8,0,,1,156,,0,0,,,2,,0,,,,0,,2,0,C,0,,,4,5,,C,0,8,1,0,,5,13,,,
MSR,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0,0,,0,0,,0,,,0,0,,C,0,,,0,,0,0,,,
MAR,C,0,0,8,64,77,,0,0,120,23,,,0,87,207,27,234,,47,0,,0,0,1,139,1,3,34,872,864,3,,58,,0,,0,0,421,0,,141,123,6,0,43,10,2,0,,0,994,1,C,87,,,228,,52,,,,0,C,0,103,,0,178,C,4,1,,C,8,229,1,0,,557,"2,336",,,2
MOZ,,0,0,0,0,0,,0,0,,0,,0,0,,,0,0,,0,0,,0,0,0,2,2,0,,18,0,,,0,,0,,0,0,0,0,,0,0,,0,0,,,0,,0,1,,0,28,,,0,,5,,,0,0,,0,93,,0,,,0,0,64,C,0,5,,0,,10,0,,,
MMR,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,24,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,1,,,,0,,0,0,,0,,314,0,0,,C,0,0,0,0,,0,0,,,
NAM,,0,0,C,9,0,,0,0,1,6,,,0,,93,5,0,,0,0,,0,1,0,27,0,0,17,12,175,,,18,,0,,0,,42,0,,26,9,1,0,1,,1,0,,0,189,0,0,0,,,42,,0,,,,0,,0,0,,0,,C,0,0,171,C,1,7,,0,,29,294,,,
NRU,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,31,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,1,,0,,0,0,,,
NPL,,0,0,0,0,0,,0,0,,0,,,0,,,0,3,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,0,0,0,,0,3,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,23,0,,,
NLD,28,1,10,"15,763","18,402",329,48,75,0,"44,440","10,164",297,299,313,"18,232","14,327",241,"7,670",537,"2,647",353,39,285,412,"1,754","12,718",2,401,"15,107","259,375","228,784",41,"1,313","6,866",,108,351,5,"3,670","108,663",189,"1,294","47,253","118,168","2,537","1,468","3,791",22,589,84,,251,"169,113",214,"1,146",164,41,0,,"1,363","25,655",,,89,81,211,629,"10,106",185,"4,420","2,127",C,"1,220","1,216",194,"31,531","9,413","70,345",167,26,,"177,752","404,133",289,,1
NZL,,0,3,"8,568",86,10,4,0,0,189,615,,1,0,"3,319",703,"1,128",559,9,114,36,4,51,0,0,138,0,1,80,"1,210","2,614",1,4,149,,0,0,0,0,"3,385",1,9,493,"8,073",99,27,209,,1,1,,0,"3,022",3,C,1,,0,"1,002",,"1,589",,,4,3,C,C,0,,0,241,694,266,6,19,377,104,"1,769",1,0,,"6,565","20,395",0,,
NIC,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,65,,0,0,,,1,,0,,,8,0,,0,0,,0,,,0,0,,C,0,3,,0,,2,0,,24,
NER,C,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,53,0,0,,0,0,,,1,,0,,0,,0,0,,0,0,1,0,0,,,0,,0,1,,0,0,,,0,,38,,,,0,,0,0,,0,,,0,0,,C,35,0,,0,,0,0,,,
NGA,,0,0,C,9,6,,0,0,4,16,,71,0,211,227,0,24,,7,0,,0,0,1,146,12,0,30,12,124,,,131,,2,0,0,1,443,0,,50,7,222,0,4,,0,0,,0,"1,574",,0,951,,,112,,194,,,,0,C,0,0,,C,20,318,0,0,349,C,65,43,,0,,"1,912","2,261",,,
NIU,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,0,,,
NFK,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,,,,
NOR,,0,3,"3,904","3,660",6,9,40,0,"2,572","2,472",,9,1,"5,441","2,128",7,"2,121",38,336,166,5,84,71,10,"5,765",0,33,"7,403","16,840","42,898",3,66,"4,863",,4,192,0,0,"10,404",17,45,"2,694","17,254","4,326",365,419,,116,1,,37,"19,345",37,333,14,,,"8,428",C,,,,3,7,,29,133,26,5,481,C,391,183,22,"1,586","18,861","9,849",2,0,,"24,948","57,893",62,,
OMN,,0,0,15,0,219,2,0,0,,8,,0,0,2,265,0,6,,0,0,,0,0,0,14,25,0,C,4,63,,,2,,0,,1,0,40,1,,7,0,,0,1,124,,13,,0,240,1,0,27,,,2,,48,,,,0,,0,0,,0,110,C,0,0,,C,0,18,0,0,,123,346,,,2
PAK,,0,0,25,19,211,9,0,0,,93,,,0,86,57,0,77,,16,0,,0,1,0,204,0,0,29,11,133,,,23,,0,,0,1,199,0,,55,38,34,0,1,2,0,0,,0,"1,936",13,0,299,,,223,,2,,,0,0,C,0,0,,0,493,C,0,0,,C,157,29,,18,,869,"2,783",,,
PLW,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
PAN,,0,1,161,51,0,,8,0,70,335,3,363,0,"1,031",467,554,66,0,82,481,18,63,0,0,477,0,0,45,315,"1,719",,,14,6,0,0,0,,"1,029",1,,244,"1,003",10,2,431,,1,0,,0,"2,779",0,C,19,0,,"1,035",,418,,,,623,,C,0,,0,109,66,0,0,16,114,87,875,51,0,,316,"27,240",13,16,
PNG,,0,0,C,1,0,,0,0,4,0,,,0,98,,0,16,1,12,0,,0,0,0,12,0,0,6,5,25,,,0,,0,3,0,,38,0,,6,82,1,0,0,,,0,,0,248,0,0,0,,,36,C,61,,,,0,,0,0,,0,,0,0,0,,C,1,33,,0,,297,"1,616",,,
PRY,,0,0,C,11,0,,0,0,,2,6,39,0,,7,31,0,,5,0,,46,0,0,108,0,0,5,5,192,,,7,,0,,0,,118,1,,14,19,98,0,0,,0,0,,0,488,,C,0,,,139,,0,,,3,0,,0,0,,0,,,0,0,86,C,2,33,,0,,37,"1,028",1,,
