,ARG,ABW,AUS,AUT,BHS,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
LBN,0,0,,2,6,3,0,4,,0,,0,0,,0,,8,,0,4,0,,34,1,,,0,,,,,,9,0,,,0,,25,,,,0,,,,,,,,,,0,,,0,0,,14,0,,,C,105,0,,
LSO,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,2,0,,
LBR,0,0,,3,,1,9,0,,12,,0,0,,0,,0,,3,,0,,11,13,4,1,0,,,6,,,35,15,,,69,,52,,,,1,,,159,,,,,,,0,,,0,0,0,5,0,,,C,"2,409",0,,
LBY,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,,0,,
LIE,0,0,,30,,0,0,0,,0,,0,,,0,,0,0,0,,0,,33,151,,,0,,,,,,310,0,,,0,,10,,,,1,,,,,,,,0,,0,,,2,0,0,,0,,,C,31,0,,
LTU,0,0,,113,,2,0,,,0,,0,,,0,,7,,1,,30,,48,599,,7,9,0,,4,,,13,1,2,,0,,104,,,,76,2,,0,,,,,0,,0,,,0,3,4,10,0,,,C,36,0,,
LUX,500,0,55,"6,862",81,"61,403","1,444",54,0,591,192,"2,330","8,956",98,112,,60,662,941,,13,"2,505","38,865","124,146","1,952","1,326",16,541,5,"11,435","2,333",601,"146,750","55,799","1,597",8,163,33,,66,36,45,"8,263",17,,"1,785",,8,,110,"4,699",4,482,"3,255",148,"1,015","12,358","19,458","83,427",20,217,,"25,700","14,207",19,,
MKD,0,0,,0,,0,0,,,0,,0,,,0,,9,,0,,0,,0,3,,1,0,,,,,,3,1,,,0,,5,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,35,0,,
MDG,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,7,0,,,,,,,,,,0,,,0,0,,0,0,,,0,1,0,,
MWI,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,0,0,,,,,,0,0,,,0,,0,,,2,0,,,,,,,,,,0,,,0,0,,0,0,,,0,8,0,,
MYS,2,0,37,59,3,30,13,,,148,53,1,"2,846",3,0,,0,,111,,0,,357,438,,133,0,0,3,205,1,,337,"2,118",169,,385,,"1,366",,0,114,326,1,,16,,,10,,17,,1,"7,375",,0,0,112,132,0,,,C,"6,370",0,,
MDV,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,15,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
MLI,0,0,,0,,0,0,,,0,,0,8,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,2,0,,
MLT,0,0,,39,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,113,0,52,,0,,8,,,,0,,,,,,,,,,0,,,3,2,,16,0,,,C,52,0,,
MHL,0,0,,1,,0,0,,,0,,0,0,,0,,0,,0,,0,,0,3,,,0,0,,,,21,41,0,,,0,,1,,,,0,1,,,,,,,,,0,,,0,0,1,1,0,,,C,415,0,,
MTQ,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
MRT,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,1,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
MUS,0,0,,2,,0,3,,,0,,0,3,0,0,,47,,0,,0,,14,4,,16,0,,150,1,3,,0,7,,,21,,10,104,,,0,,,,3,,,,,,0,85,,15,0,,16,0,,,C,140,0,,
MYT,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
MEX,23,0,126,472,"1,054",53,205,1,,"2,353","2,711",145,79,0,3,14,0,13,390,,0,,"1,185","2,344",6,280,0,0,,715,4,,"2,866","1,990",74,,55,0,"3,075",6,1,11,"1,237",50,,129,,77,2,,81,,0,149,0,0,169,122,630,6,0,,"6,452","48,786",26,,3
FSM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
MDA,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,1,121,,,0,0,,0,0,,,0,13,0,,
MCO,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,854,0,,,0,,43,,,,0,,,,,,,,,,0,,,0,0,0,,0,,,C,2,0,,
MNG,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
MNE,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
MSR,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,3,,,,,0,,,0,0,,,0,,,0,0,0,,
MAR,0,0,C,1,,14,6,,,0,,0,,,0,,0,,2,,0,,360,20,,6,0,,,37,,,7,1,,,0,,85,,,,7,0,,,,,,,0,,0,,,0,229,,4,0,,,C,242,0,,
MOZ,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,30,0,,,,,,,,0,,0,,,0,0,0,0,0,,,0,1,0,,
MMR,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,0,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,5,,0,0,,21,0,,,0,0,0,,
NAM,0,0,,0,,2,0,,,0,,0,,,0,,0,,0,,0,,0,0,,22,0,,,,,,0,0,,,0,,0,,,34,1,,,,,,,,,,0,,,3,0,2,0,0,,,0,0,0,,
NRU,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
NPL,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
NLD,41,3,"4,887","11,285",48,"29,762","2,661",75,21,"5,277",100,120,"6,328",92,3,0,169,"1,109","2,844",23,101,"6,649","116,055","104,411",720,"1,953",162,22,219,"17,605",608,73,"54,150","41,959","9,255",149,163,9,"62,918",12,214,12,,423,86,"5,604",,20,1,418,"6,206",4,66,"2,715",58,255,"38,469","4,761","43,594",0,330,,"79,331","138,711",13,,
ANT,0,21,,660,12,982,563,7,,227,36,1,463,0,8,,10,10,991,,0,,"18,187","1,770",6,394,2,,,589,911,,"5,477","13,638",479,,0,0,"1,996",,1,,"2,019",,,51,,,,,273,,0,,6,0,"1,827",21,"2,063",0,8,,C,"16,268",2,,
NZL,0,0,687,26,27,90,403,,,428,92,6,581,0,0,,3,,57,,0,,368,231,3,188,0,0,,716,2,4,883,"1,503",137,0,0,,"1,785",0,1,,62,2,,213,,,,,0,,0,"1,431",,4,93,52,297,10,,,C,"5,796",0,2,
NIC,0,0,,0,,0,0,,,0,74,0,,,0,5,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,3,,,,0,3,,,,7,,,,,0,,,0,0,,0,0,,,0,9,0,,
NER,0,0,,0,,0,2,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,19,0,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
NGA,0,0,C,1,,0,0,,,0,144,0,,,0,,0,,12,3,0,,35,4,,,0,1,,,,,13,1,2,,0,,33,,,0,1,,,,,,,,,,0,,,0,0,,1,0,,,C,,0,,
NIU,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,6,0,,,0,,0,,,,0,,,,,,,,,,12,,,0,0,,,0,,,0,0,0,,
NFK,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
NOR,0,0,160,782,13,690,693,1,3,468,144,0,"1,898",72,0,,116,18,"1,530",0,1,611,"2,664","3,991",38,329,0,4,,"2,080",47,80,632,"6,015",501,0,2,1,"4,695",3,15,,"1,051",7,25,,,0,10,8,0,,0,673,6,4,"1,024","2,381","3,854",0,,,C,"12,386",0,,
OMN,0,0,,0,12,0,0,,,1,,0,,,0,,0,,0,0,0,,0,0,,30,0,,,,,,0,0,,,0,,8,,,,0,3,,,,,,,,,0,,,0,0,,0,0,,,8,,0,,
PAK,0,0,,0,3,0,1,,,2,,0,0,,0,,0,,11,,0,,0,2,,,0,,,8,0,,2,10,2,,2,,7,,,166,1,,,,,,,,,,0,,,0,0,1,2,0,,,C,226,0,,
PLW,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,1,0,,,0,0,0,,
PAN,8,0,C,42,168,8,15,49,,129,25,1,88,,8,6,0,,33,,0,,91,114,,7,0,0,,50,14,5,295,99,10,0,0,0,389,2,,,70,0,,42,,,,,0,,0,,0,0,49,1,130,0,,,C,"11,733",0,,13
PNG,0,0,,3,,0,0,,,0,,0,5,,0,,0,,0,,0,,11,8,,,0,0,,,,,8,0,,,0,,40,77,,39,2,,,,,,,,0,,0,,,0,0,,13,0,,,C,155,0,,
PRY,0,0,,0,,0,0,8,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,3,0,,136,0,,,C,0,0,,
PER,0,0,14,26,31,11,12,0,,129,59,0,,,0,,-5,,39,,0,,107,84,,9,0,,,37,26,,79,25,2,,0,,208,2,,,57,1,,1,,35,,,0,,0,,,0,57,7,16,0,,,C,"2,486",0,,0
PHL,0,0,67,29,17,40,30,,,127,68,5,569,0,0,,5,,47,,0,,132,152,,81,0,0,5,471,2,,157,"1,680",280,,82,0,714,27,,4,91,1,,1,,,,,0,,0,"1,220",,0,6,10,700,0,,,C,"4,555",0,,
PCN,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
POL,0,0,5,935,,102,32,,,82,,3,2,,0,,109,196,256,,4,,527,"3,260",37,66,22,0,,424,,,294,108,42,,0,,"3,270",1,,,927,1,,451,,,,,61,,19,,2,0,76,80,83,0,,,C,"3,369",0,,
PRT,0,0,105,943,22,"4,404",467,107,1,288,101,9,250,0,0,,30,34,182,,1,381,"18,023","15,827",279,123,0,2,,"3,811",24,,"3,866","1,376","1,821",22,0,,"3,930",0,55,,"2,606",0,51,736,,0,,,,,0,402,4,1,"3,074",184,688,0,,,"9,568","4,151",0,,
PRI,0,0,,0,,0,4,1,,14,,0,,,0,,0,,0,,0,,4,0,,,0,0,,,,,2,8,,,0,,4,,,,0,,,,,3,,,,,0,,,0,0,,,0,,,0,,0,,
QAT,0,0,,18,5,4,0,,,4,,0,,,0,,16,,2,,0,,35,61,,3,0,,,22,,,7,28,,,2,1,37,,,,44,0,,0,,,,,0,,0,,,0,0,,8,0,,,C,,0,,
REU,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,28,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
ROU,0,0,,88,,1,0,,14,0,,0,,,0,,96,,50,5,0,,55,427,241,55,0,,,63,,,461,1,3,,1,,212,,,,80,,,,,,,,0,,0,,,0,1,1,20,0,3,,C,74,0,,
RUS,0,0,45,628,1,62,99,0,1,267,23,6,18,0,0,,"1,258",1,287,,6,101,681,"1,887",87,329,46,0,,301,0,,"2,059",240,406,8,0,0,"3,310",5,,,655,11,,77,,0,13,,17,0,,,1,0,1,824,962,0,1,22,"5,330","13,301",0,,0
RWA,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
SHN,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,0,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
SPM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
WSM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
SMR,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,157,0,,,0,,0,,,,47,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
STP,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,0,,0,,,0,0,,0,0,,,0,,0,,
SAU,0,0,,0,,19,0,,,0,,0,C,,0,,0,,0,193,0,,0,0,,139,0,0,,,6,,0,0,,,0,0,0,0,,,0,,,,23,,,,,,0,,,0,0,1,0,0,,,C,,0,,
SEN,0,0,,0,,0,32,,,0,,0,,,0,,0,,2,,0,,7,0,,,0,,,,,,0,0,,,0,,5,,,,0,,,,,,,,,,0,,,0,0,,1,0,,,C,0,0,,
SRB,0,0,,1,,0,0,,,0,,0,,,0,,0,,1,,0,,0,0,9,,0,,,,,,0,0,,,0,,4,,,,0,,,,,,,,65,,1,,,0,0,,0,0,,,11,7,0,,
SYC,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,0,,,,,0,0,,,0,,0,,,5,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
SLE,0,0,,0,,4,0,,,0,,0,,,0,,0,,0,,1,,0,0,,,0,,,,,,0,0,,,0,,0,0,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
SGP,0,0,460,86,50,63,47,,0,"1,106",20,0,"3,383",35,0,,0,0,103,0,0,,500,501,4,57,0,0,23,700,13,,356,"3,103","1,082",1,145,0,"1,396",435,0,215,888,2,2,383,,,50,,0,,0,,0,7,18,210,261,7,,,"6,679","19,885",0,,
SVK,0,0,,357,,15,0,,,0,6,3,7,,0,,11,541,1,,2,,43,"1,056",,0,25,0,,7,,,71,24,2,,6,,213,1,,,73,,,,,,,,0,,0,,,0,2,,26,0,,,C,101,0,,
SVN,0,0,C,409,,23,15,,5,0,,2,,,0,,12,36,0,,0,,193,751,,24,0,0,,139,,,213,0,2,,0,,230,,,,45,,,,,,,,0,,0,,,0,13,0,49,0,,,C,45,0,,
SLB,0,0,,0,,0,0,0,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
SOM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
ZAF,0,0,194,260,,149,487,0,,348,,12,1,0,0,0,0,,153,,0,,639,"1,623",16,194,0,0,,845,39,1,354,"1,301",121,,5,0,"1,438",39,1,"1,444",585,0,,23,,,5,,169,,0,584,0,,51,111,584,0,0,,C,"12,168",0,,
ESP,249,0,789,"3,236",14,"16,451","1,185",116,15,"2,554",57,38,681,34,6,,28,165,"2,073",19,1,"3,303","66,383","49,029",159,"2,197",5,13,,"21,817",122,15,"11,729","16,065","1,757",26,8,2,"23,490",7,19,,"28,463",25,25,"3,625",,2,5,,"3,226",,0,"1,896",12,56,,"2,359","4,203",0,0,,"25,416","36,419",1,,
LKA,0,0,,0,,7,1,,,0,,0,0,,0,,0,,1,,0,,0,0,,1,0,,,,0,,0,0,,,0,0,10,0,,18,0,,,0,3,,,,,,0,53,,0,0,0,0,0,,,C,109,0,,
KNA,0,0,,0,,0,0,,,0,7,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,47,,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
LCA,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
VCT,0,0,,0,,0,0,,,0,,0,,1,0,,0,,0,,0,,0,0,,,0,,,,,,3,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,7,0,,,0,0,0,,
SDN,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,2,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
SUR,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
SWZ,0,0,,0,,0,0,,,0,,0,,,0,,0,,1,,0,,0,0,,,0,,,,,,0,0,2,,0,,0,,,17,0,,,,,,,,,,0,,,0,0,,0,0,,,C,,5,,
SWE,2,0,435,"1,353",,"1,667","1,179",2,4,"1,564",165,7,"1,900",87,1,0,388,74,"6,862",5,74,"8,514","9,314","10,989",105,739,10,29,2,"7,138","1,697",14,"5,089","16,723",861,7,8,2,"22,218",7,40,0,"7,103",29,2,"8,096",,3,30,0,319,,5,721,1,32,"2,001",,"5,227",0,0,,"17,008","35,450",1,,8
CHE,1,0,"1,641","1,562",13,"2,524",285,56,0,"5,476",664,0,572,18,0,0,100,12,"2,140",15,0,"1,047","9,972","20,474",83,578,28,21,,"4,941",155,22,"10,115","7,745","1,127",25,11,6,"17,958",22,71,16,"11,656",311,8,"2,538",,8,6,40,189,0,2,833,1,100,"2,654","3,892",,12,1,,"31,353","85,754",0,,
SYR,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,1,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
TWN,0,0,87,49,4,151,26,0,,424,,0,"2,174",15,0,,0,,152,,0,,314,201,1,302,0,0,,566,2,,344,315,53,,1,0,"2,812",10,,92,587,1,,322,,,7,,0,,0,"2,312",,5,0,271,363,1,,,C,"7,263",0,,
TJK,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
TZA,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,18,0,,,,,,,,,,0,,,0,0,0,0,0,,,C,3,0,,
THA,0,0,25,44,7,121,7,0,,175,42,0,"1,604",1,0,,2,1,85,1,0,,170,332,,163,0,1,,188,3,,143,792,139,,45,0,862,35,,151,153,3,,3,,,3,,0,,0,"2,248",0,0,1,40,87,,,,"1,899","3,263",0,,
TLS,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,7,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
TGO,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,3,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
TKL,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
TON,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,7,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
TTO,0,0,,1,,0,8,,,1,72,0,,,0,,0,,0,,0,,47,1,,0,0,,,,,,0,83,,,0,,39,,,,0,33,,20,,,,,,,0,,,0,0,,67,0,,,C,485,0,,
TUN,0,0,,104,3,22,0,,,3,,0,,,0,,1,,12,,0,,187,102,,2,0,,,,,,60,891,,,0,0,96,,14,,20,,,,,,,,0,,0,,,0,20,0,4,0,,,C,667,0,,
TUR,0,0,14,252,4,28,12,0,19,102,18,0,22,,0,,7,5,47,7,0,,117,"3,441",108,33,0,0,,234,4,,"1,678","1,460",3,1,8,2,850,3,"1,106",,100,0,,7,,,,,0,,11,,0,0,206,12,508,0,,,"4,998","2,617",0,,
TKM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,17,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
TCA,0,0,,0,,0,0,1,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,156,,,0,,0,,,,0,,,,,6,,,0,,0,,,0,0,,0,0,,,0,35,0,,
TUV,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
UGA,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,1,0,,,,,,,,,,0,,,0,0,,0,0,,,C,2,0,,
UKR,0,0,C,60,,1,0,0,,2,,0,,,0,,0,1,27,,0,,39,265,,183,0,0,,13,0,,261,7,11,,0,0,123,,,,18,0,,,,,,,,,234,,,122,3,1,36,0,,,C,370,0,,
ARE,0,0,,0,,0,0,,,0,,0,,,0,,5,,0,0,0,,0,0,,2,0,0,,,,,0,0,,,0,1,0,,,10,3,,,,,,,,,,0,,,0,0,,1,0,,,C,,0,,
GBR,63,4,"8,778","8,551",562,"14,457","13,403",353,7,"23,970","1,032",66,"34,582",251,57,0,282,340,"7,333",105,5,"6,102","79,524","73,186","1,988","21,807",42,189,69,"115,441","12,885",502,"32,925","94,846","25,273",71,565,44,"65,533",153,258,529,"49,758",483,"1,839","16,442",0,10,143,153,"4,312",7,273,"20,873",19,"16,008","26,920","19,228","26,286",102,45,,,"494,639",11,,0
USA,"10,225",227,"51,814","16,644","6,374","31,567","127,097","1,090",403,"143,122","37,651","1,926","37,020",424,"1,143",9,379,899,"19,346",213,22,"7,586","124,198","103,211","3,436","16,168",115,702,280,"179,420","2,192","7,420","70,609","499,048","51,513","1,093","5,730",212,"176,180",346,250,"2,285","147,061","6,747","7,333","33,372",0,"1,399","2,306",584,"4,334",2,657,"33,071",125,"4,685","23,166","46,872","81,398","1,302",76,,"333,183",,358,39,"2,903"
URY,2,0,C,18,50,3,5,71,,21,,126,,,0,1,0,,4,,0,,10,61,,15,0,,,27,5,,37,151,,,0,0,37,,,,4,261,,,,,,,,,1,,,0,1,,18,0,1,,C,555,,,
PUQ,0,0,,0,,0,12,0,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,,,,9,,25,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,,0,,
VIR,5,0,,0,,2,0,3,,0,,0,,5,0,,0,,0,,0,,5,0,,,0,,,,0,,4,3,3,,1,1,61,,,,0,,,0,,,,,,,0,,,0,0,,,0,,,C,,0,,
UZB,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,2,0,,
VUT,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,1,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
VAT,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,0,,0,,,0,0,,0,0,,,0,0,0,,
VEN,4,0,C,43,8,196,12,10,,224,77,3,1,,10,1,0,,32,,0,,197,446,,126,0,,,68,0,,819,29,,,0,1,396,3,,,172,166,,,,122,5,,0,,0,,0,0,9,5,87,0,1,,C,"4,490",6,,
VNM,0,0,,2,,0,0,,,0,,0,8,,0,,0,,3,,0,,0,2,,13,0,,2,6,,,0,33,,,0,,14,20,,,0,,,,,,,,,,0,22,,0,0,0,1,4,,,C,47,0,,
VGB,0,0,,41,,7,"2,083",279,,82,36,0,"7,068",80,0,,48,,3,,1,,"1,608",318,,"1,354",0,1,,764,271,,867,"2,016",585,,32,13,"1,948",13,,2,48,113,,,,1,,,981,,0,310,,138,39,35,,12,,,"1,043","2,325",0,,
WLF,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
PSE,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,1,0,,,0,0,0,,
ESH,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
YEM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
ZMB,0,0,,0,,1,0,,,0,,0,,,0,,0,,0,,0,,1,0,,,0,,,,,,0,0,,,0,,2,,,13,0,,,,,,,,,,0,,,0,0,,0,0,,,C,4,0,,
ZWE,0,0,,0,,0,0,,,5,,0,0,,0,,0,,0,,0,,1,0,,1,0,,,,0,,0,0,,,0,,1,,,466,1,,,,,,,,,,0,,,49,0,0,0,0,,,C,65,0,,
